Full_Name,Full_Name_dbr,Year,Laureate_Id,Firstname,Lastname,Category,Gender,Prize_Share,Motivation,Birth_Date,Birth_Country,Birth_City,Birth_City_dbr,Birth_Country_Code,Organization_Name,Organization_Name_dbr
Emmanuelle Charpentier,Emmanuelle_Charpentier,2020,991,Emmanuelle,Charpentier,chemistry,Female,2,for the development of a method for genome editing,1968-12-11,France,Juvisy-sur-Orge,Juvisy-sur-Orge,FR,,
Jennifer A. Doudna,Jennifer_Doudna,2020,992,Jennifer A.,Doudna,chemistry,Female,2,for the development of a method for genome editing,1964-02-19,USA,Washington D.C.,"Washington,_D.C.",US,University of California,University_of_California
Paul Milgrom,Paul_Milgrom,2020,995,Paul,Milgrom,economics,Male,2,for improvements to auction theory and inventions of new auction formats,1948-04-20,USA,Detroit MI,Detroit,US,Stanford University,Stanford_University
Robert Wilson,Robert_B._Wilson,2020,996,Robert,Wilson,economics,Male,2,for improvements to auction theory and inventions of new auction formats,1937-05-16,USA,Geneva NE,"Geneva,_New_York",US,Stanford University,Stanford_University
Louise Glück,Louise_Glück,2020,993,Louise,Glück,literature,Female,1,for her unmistakable poetic voice that with austere beauty makes individual existence universal,1943-04-22,USA,New York NY,New_York_City,US,,
Harvey Alter,Harvey_J._Alter,2020,985,Harvey,Alter,medicine,Male,3,for the discovery of Hepatitis C virus,1935-09-12,USA,New York NY,New_York_City,US,National Institutes of Health,National_Institutes_of_Health
Charles Rice,Charles_M._Rice,2020,987,Charles,Rice,medicine,Male,3,for the discovery of Hepatitis C virus,1952-08-25,USA,Sacramento CA,"Sacramento_County,_California",US,Rockefeller University,Rockefeller_University
Michael Houghton,Michael_Houghton_(virologist),2020,986,Michael,Houghton,medicine,Male,3,for the discovery of Hepatitis C virus,1949-01-01,United Kingdom,,,GB,University of Alberta,University_of_Alberta
Reinhard Genzel,Reinhard_Genzel,2020,989,Reinhard,Genzel,physics,Male,3,for the discovery of a supermassive compact object at the centre of our galaxy,1952-03-24,Germany,Bad Homburg vor der Höhe,Bad_Homburg_vor_der_Höhe,DE,Max Planck Institute for Extraterrestrial Physics,Max_Planck_Institute_for_Physics
Andrea Ghez,Andrea_M._Ghez,2020,990,Andrea,Ghez,physics,Female,3,for the discovery of a supermassive compact object at the centre of our galaxy,1965-06-16,USA,New York NY,New_York_City,US,University of California,University_of_California
Roger Penrose,Roger_Penrose,2020,988,Roger,Penrose,physics,Male,3,for the discovery that black hole formation is a robust prediction of the general theory of relativity,1931-08-08,United Kingdom,Colchester,Colchester,GB,University of Oxford,University_of_Oxford
Benjamin List,Benjamin_List,2021,1002,Benjamin,List,chemistry,Male,2,for the development of asymmetric organocatalysis,1968-01-11,Germany,Frankfurt-on-the-Main,Frankfurt,DE,Max-Planck-Institut für Kohlenforschung,Max_Planck_Institute_for_Coal_Research
David MacMillan,David_MacMillan,2021,1003,David,MacMillan,chemistry,Male,2,for the development of asymmetric organocatalysis,1968-03-16,United Kingdom,Bellshill,Bellshill,GB,Princeton University,Princeton_University
David Card,David_Card,2021,1007,David,Card,economics,Male,3,for his empirical contributions to labour economics,1956-01-01,Canada,Guelph,Guelph,CA,University of California,University_of_California
Joshua Angrist,Joshua_Angrist,2021,1008,Joshua,Angrist,economics,Male,3,for their methodological contributions to the analysis of causal relationships,1960-09-18,USA,Columbus OH,"Columbus,_Ohio",US,Massachusetts Institute of Technology (MIT),Massachusetts_Institute_of_Technology
Guido Imbens,Guido_Imbens,2021,1009,Guido,Imbens,economics,Male,3,for their methodological contributions to the analysis of causal relationships,1963-09-03,Netherlands,Geldrop,Geldrop,NL,Stanford University,Stanford_University
Abdulrazak Gurnah,Abdulrazak_Gurnah,2021,1004,Abdulrazak,Gurnah,literature,Male,1,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1948-12-20,Tanzania,,,TZ,,
Ardem Patapoutian,Ardem_Patapoutian,2021,998,Ardem,Patapoutian,medicine,Male,2,for their discoveries of receptors for temperature and touch,1967-10-02,Lebanon,Beirut,Beirut,LB,Scripps Research,Scripps_Research
David Julius,David_Julius,2021,997,David,Julius,medicine,Male,2,for their discoveries of receptors for temperature and touch,1955-11-04,USA,New York NY,New_York_City,US,University of California,University_of_California
Dmitry Muratov,Dmitry_Muratov,2021,1006,Dmitry,Muratov,peace,Male,2,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,1961-10-29,USSR,Kubyshev,"Kuybyshev,_Novosibirsk_Oblast",RU,,
Maria Ressa,Maria_Ressa,2021,1005,Maria,Ressa,peace,Female,2,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,1963-10-02,Philippines,Manila,Manila,PH,,
Giorgio Parisi,Giorgio_Parisi,2021,1001,Giorgio,Parisi,physics,Male,3,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,1948-08-04,Italy,Rome,Rome,IT,Sapienza University of Rome,Sapienza_University_of_Rome
Klaus Hasselmann,Klaus_Hasselmann,2021,1000,Klaus,Hasselmann,physics,Male,3,for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming,1931-10-25,Germany,Hamburg,Hamburg,DE,Max Planck Institute for Meteorology,Max_Planck_Institute_for_Meteorology
Syukuro Manabe,Syukuro_Manabe,2021,999,Syukuro,Manabe,physics,Male,3,for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming,1931-09-21,Japan,Shingu Ehime,"Shingū,_Ehime",JP,Princeton University,Princeton_University
